の, 助詞,連体化,*,*,*,*,の,ノ,ノ
消防組合, 名詞,固有名詞,一般,*,*,*,消防組合,ショウボウクミアイ,ショーボークミアイ
続投, 名詞,一般,*,*,*,*,続投,ゾクトウ,ゾクトー
みな, 名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ
完了, 名詞,サ変接続,*,*,*,*,完了,カンリョウ,カンリョー
好ましく, 形容詞,自立,*,*,形容詞・イ段,連用テ接続,好ましい,コノマシク,コノマシク
はがれ, 動詞,自立,*,*,一段,連用形,はがれる,ハガレ,ハガレ
Quigley, 名詞,一般,*,*,*,*,*
防衛隊, 名詞,固有名詞,一般,*,*,*,防衛隊,ボウエイタイ,ボーエイタイ
営業, 名詞,サ変接続,*,*,*,*,営業,エイギョウ,エイギョー
視聴, 名詞,サ変接続,*,*,*,*,視聴,シチョウ,シチョー
ノーツ, 名詞,固有名詞,一般,*,*,*,ノーツ,ノーツ,ノーツ
Chelsea, 名詞,固有名詞,人名,一般,*,*,CHELSEA,チェルシー,チェルシー
文学作品, 名詞,固有名詞,一般,*,*,*,文学作品,ブンガクサクヒン,ブンガクサクヒン
精算, 名詞,サ変接続,*,*,*,*,精算,セイサン,セイサン
50発, 名詞,固有名詞,一般,*,*,*,50発,ゴジュッパツ,ゴジュッパツ
半旗, 名詞,一般,*,*,*,*,半旗,ハンキ,ハンキ
送っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,送る,オクッ,オクッ
10代, 名詞,固有名詞,一般,*,*,*,10代,ジュウダイ,ジュウダイ
Theresa, 名詞,固有名詞,組織,*,*,*,*
住宅地, 名詞,固有名詞,一般,*,*,*,住宅地,ジュウタクチ,ジュータクチ
相容れない, 形容詞,自立,*,*,形容詞・アウオ段,基本形,相容れない,アイイレナイ,アイイレナイ
校, 名詞,接尾,一般,*,*,*,校,コウ,コー
悪影響, 名詞,一般,*,*,*,*,悪影響,アクエイキョウ,アクエイキョー
主題, 名詞,一般,*,*,*,*,主題,シュダイ,シュダイ
サインマロ, 名詞,一般,*,*,*,*,*
Westchester, 名詞,固有名詞,組織,*,*,*,*
常習犯, 名詞,一般,*,*,*,*,常習犯,ジョウシュウハン,ジョーシューハン
必要性, 名詞,固有名詞,一般,*,*,*,必要性,ヒツヨウセイ,ヒツヨーセイ
器物損壊, 名詞,固有名詞,一般,*,*,*,器物損壊,キブツソンカイ,キブツソンカイ
体重, 名詞,一般,*,*,*,*,体重,タイジュウ,タイジュー
酷似, 名詞,サ変接続,*,*,*,*,酷似,コクジ,コクジ
足並み, 名詞,一般,*,*,*,*,足並み,アシナミ,アシナミ
依然として, 副詞,一般,*,*,*,*,依然として,イゼントシテ,イゼントシテ
決まっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,決まる,キマッ,キマッ
交流, 名詞,サ変接続,*,*,*,*,交流,コウリュウ,コーリュー
移民規制, 名詞,固有名詞,一般,*,*,*,移民規制,イミンキセイ,イミンキセイ
積ん, 動詞,自立,*,*,五段・マ行,連用タ接続,積む,ツン,ツン
当たっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,当たる,アタッ,アタッ
ＦａｉｒａｎｄＢａｌａｎｃｅｄ, 名詞,固有名詞,組織,*,*,*,*
提供, 名詞,サ変接続,*,*,*,*,提供,テイキョウ,テイキョー
But, 名詞,固有名詞,組織,*,*,*,*
老朽化, 名詞,固有名詞,一般,*,*,*,老朽化,ロウキュウカ,ローキューカ
賄わ, 動詞,自立,*,*,五段・ワ行促音便,未然形,賄う,マカナワ,マカナワ
ならびに, 接続詞,*,*,*,*,*,ならびに,ナラビニ,ナラビニ
M, 名詞,固有名詞,組織,*,*,*,*
使い方, 名詞,一般,*,*,*,*,使い方,ツカイカタ,ツカイカタ
隊員, 名詞,一般,*,*,*,*,隊員,タイイン,タイイン
圧迫, 名詞,サ変接続,*,*,*,*,圧迫,アッパク,アッパク
窓際, 名詞,一般,*,*,*,*,窓際,マドギワ,マドギワ
Mississippi, 名詞,固有名詞,組織,*,*,*,*
マイク・ポンペオ, 名詞,固有名詞,人名,一般,*,*,マイク・ポンペオ,マイクポンペオ,マイクポンペオ
守ら, 動詞,自立,*,*,五段・ラ行,未然形,守る,マモラ,マモラ
ジャーナル, 名詞,一般,*,*,*,*,ジャーナル,ジャーナル,ジャーナル
ブーマー, 名詞,固有名詞,一般,*,*,*,BOOMER,ブーマー,ブーマー
ラッキー, 名詞,形容動詞語幹,*,*,*,*,ラッキー,ラッキー,ラッキー
バロリア, 名詞,一般,*,*,*,*,*
40, 名詞,数,*,*,*,*,*
風, 名詞,接尾,一般,*,*,*,風,フウ,フー
欧州人, 名詞,固有名詞,一般,*,*,*,欧州人,オウシュウジン,オーシュージン
持ち去ろ, 動詞,自立,*,*,五段・ラ行,未然ウ接続,持ち去る,モチサロ,モチサロ
自伝, 名詞,一般,*,*,*,*,自伝,ジデン,ジデン
開く, 動詞,自立,*,*,五段・カ行イ音便,基本形,開く,ヒラク,ヒラク
虐げる, 動詞,自立,*,*,一段,基本形,虐げる,シイタゲル,シータゲル
ジム, 名詞,一般,*,*,*,*,ジム,ジム,ジム
鮮明, 名詞,形容動詞語幹,*,*,*,*,鮮明,センメイ,センメイ
週末, 名詞,副詞可能,*,*,*,*,週末,シュウマツ,シューマツ
ファビアン, 名詞,固有名詞,一般,*,*,*,ファビアン,ファビアン,ファビアン
移送, 名詞,サ変接続,*,*,*,*,移送,イソウ,イソー
50人, 名詞,固有名詞,一般,*,*,*,50人,ゴジュウニン,ゴジュウニン
噴き出し, 動詞,自立,*,*,五段・サ行,連用形,噴き出す,フキダシ,フキダシ
救援部隊, 名詞,固有名詞,一般,*,*,*,救援部隊,キュウエンブタイ,キューエンブタイ
熱心, 名詞,形容動詞語幹,*,*,*,*,熱心,ネッシン,ネッシン
Perdue, 名詞,一般,*,*,*,*,*
コービン, 名詞,固有名詞,一般,*,*,*,コービン,コービン,コービン
半分, 名詞,副詞可能,*,*,*,*,半分,ハンブン,ハンブン
園中, 名詞,固有名詞,人名,姓,*,*,園中,ソノナカ,ソノナカ
念頭, 名詞,一般,*,*,*,*,念頭,ネントウ,ネントー
新しい, 形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
各種, 名詞,一般,*,*,*,*,各種,カクシュ,カクシュ
農産品, 名詞,固有名詞,一般,*,*,*,農産品,ノウサンピン,ノーサンピン
桜井紀雄, 名詞,固有名詞,人名,一般,*,*,桜井紀雄,サクライノリオ,サクライノリオ
心臓, 名詞,一般,*,*,*,*,心臓,シンゾウ,シンゾー
市民運動, 名詞,固有名詞,一般,*,*,*,市民運動,シミンウンドウ,シミンウンドー
too, 名詞,一般,*,*,*,*,*
一斉, 名詞,副詞可能,*,*,*,*,一斉,イッセイ,イッセイ
ゴルフトーナメント, 名詞,固有名詞,一般,*,*,*,ゴルフトーナメント,ゴルフトーナメント,ゴルフトーナメント
6800, 名詞,数,*,*,*,*,*
コロシアム, 名詞,一般,*,*,*,*,コロシアム,コロシアム,コロシアム
予備選, 名詞,固有名詞,一般,*,*,*,予備選,ヨビセン,ヨビセン
2000年, 名詞,固有名詞,一般,*,*,*,2000年,ニセンネン,ニセンネン
指導力, 名詞,固有名詞,一般,*,*,*,指導力,シドウリョク,シドーリョク
簡潔, 名詞,形容動詞語幹,*,*,*,*,簡潔,カンケツ,カンケツ
ギリシャ政府, 名詞,固有名詞,一般,*,*,*,ギリシャ政府,ギリシャセイフ,ギリシャセイフ
1382, 名詞,数,*,*,*,*,*
無関係, 名詞,形容動詞語幹,*,*,*,*,無関係,ムカンケイ,ムカンケイ
失敗, 名詞,サ変接続,*,*,*,*,失敗,シッパイ,シッパイ
トンネル, 名詞,一般,*,*,*,*,トンネル,トンネル,トンネル
喫し, 動詞,自立,*,*,五段・サ行,連用形,喫す,キッシ,キッシ
14年, 名詞,固有名詞,一般,*,*,*,14年,ジュウヨンネン,ジュウヨンネン
連ね, 動詞,自立,*,*,一段,連用形,連ねる,ツラネ,ツラネ
青年, 名詞,一般,*,*,*,*,青年,セイネン,セイネン
Flynn, 名詞,一般,*,*,*,*,*
尻, 名詞,一般,*,*,*,*,尻,シリ,シリ
教材, 名詞,一般,*,*,*,*,教材,キョウザイ,キョーザイ
じん, 名詞,一般,*,*,*,*,じん,ジン,ジン
3日間, 名詞,固有名詞,一般,*,*,*,3日間,ミッカ,ミッカ
逆手, 名詞,一般,*,*,*,*,逆手,サカテ,サカテ
21, 名詞,数,*,*,*,*,*
論法, 名詞,一般,*,*,*,*,論法,ロンポウ,ロンポー
広報, 名詞,サ変接続,*,*,*,*,広報,コウホウ,コーホー
Stubbs, 名詞,固有名詞,組織,*,*,*,*
アイデア, 名詞,一般,*,*,*,*,アイデア,アイデア,アイデア
政界, 名詞,一般,*,*,*,*,政界,セイカイ,セイカイ
不, 接頭詞,名詞接続,*,*,*,*,不,フ,フ
大筋合意, 名詞,固有名詞,一般,*,*,*,大筋合意,オオスジゴウイ,オースジゴーイ
100, 名詞,数,*,*,*,*,*
縮まっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,縮まる,チヂマッ,チジマッ
キリスト教社会同盟, 名詞,固有名詞,一般,*,*,*,キリスト教社会同盟,キリストキョウシャカイドウメイ,キリストキョーシャカイドーメイ
牛乳, 名詞,一般,*,*,*,*,牛乳,ギュウニュウ,ギューニュー
少数民族, 名詞,固有名詞,一般,*,*,*,少数民族,ショウスウミンゾク,ショースーミンゾク
Panda, 名詞,固有名詞,組織,*,*,*,*
朝日新聞, 名詞,固有名詞,組織,*,*,*,朝日新聞,アサヒシンブン,アサヒシンブン
ティー, 名詞,一般,*,*,*,*,ティー,ティー,ティー
州政府, 名詞,固有名詞,一般,*,*,*,州政府,シュウセイフ,シューセイフ
Dany, 名詞,固有名詞,組織,*,*,*,*
チョン・ヒョンベク, 名詞,固有名詞,一般,*,*,*,*
表示, 名詞,サ変接続,*,*,*,*,表示,ヒョウジ,ヒョージ
米連邦捜査局, 名詞,固有名詞,一般,*,*,*,米連邦捜査局,ベイレンポウソウサキョク,ベイレンポーソーサキョク
単身, 名詞,一般,*,*,*,*,単身,タンシン,タンシン
少なく, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,少ない,スクナク,スクナク
教諭, 名詞,一般,*,*,*,*,教諭,キョウユ,キョーユ
退陣, 名詞,サ変接続,*,*,*,*,退陣,タイジン,タイジン
切羽詰まっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,切羽詰まる,セッパツマッ,セッパツマッ
名字, 名詞,一般,*,*,*,*,名字,ミョウジ,ミョージ
メートル, 名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル
55, 名詞,数,*,*,*,*,*
英語学, 名詞,固有名詞,一般,*,*,*,英語学,エイゴガク,エイゴガク
field, 名詞,固有名詞,一般,*,*,*,field,フィールド,フィールド
内外, 名詞,一般,*,*,*,*,内外,ナイガイ,ナイガイ
党員, 名詞,一般,*,*,*,*,党員,トウイン,トーイン
まま, 名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
Metropolitan, 名詞,固有名詞,組織,*,*,*,*
等, 名詞,接尾,一般,*,*,*,等,トウ,トー
手続き, 名詞,サ変接続,*,*,*,*,手続き,テツヅキ,テツズキ
再考, 名詞,サ変接続,*,*,*,*,再考,サイコウ,サイコー
.」（, 記号,一般,*,*,*,*,*
ジョセフ, 名詞,固有名詞,人名,名,*,*,ジョセフ,ジョセフ,ジョセフ
同校, 名詞,一般,*,*,*,*,同校,ドウコウ,ドーコー
ベンチ, 名詞,一般,*,*,*,*,ベンチ,ベンチ,ベンチ
とる, 動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル
引き換え, 名詞,一般,*,*,*,*,引き換え,ヒキカエ,ヒキカエ
すぎ, 名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ
://, 記号,一般,*,*,*,*,*
マヌエル, 名詞,固有名詞,一般,*,*,*,マヌエル,マヌエル,マヌエル
聞か, 動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ
津阪, 名詞,固有名詞,人名,姓,*,*,津阪,ツサカ,ツサカ
スレート, 名詞,一般,*,*,*,*,スレート,スレート,スレート
図り, 動詞,自立,*,*,五段・ラ行,連用形,図る,ハカリ,ハカリ
音楽, 名詞,一般,*,*,*,*,音楽,オンガク,オンガク
不人気, 名詞,形容動詞語幹,*,*,*,*,不人気,フニンキ,フニンキ
引い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,引く,ヒイ,ヒイ
借り, 動詞,自立,*,*,一段,連用形,借りる,カリ,カリ
refusing, 名詞,固有名詞,組織,*,*,*,*
3分, 名詞,固有名詞,一般,*,*,*,3分,サンプン,サンプン
堅苦しい, 形容詞,自立,*,*,形容詞・イ段,基本形,堅苦しい,カタクルシイ,カタクルシイ
直面, 名詞,サ変接続,*,*,*,*,直面,チョクメン,チョクメン
１つ, 名詞,一般,*,*,*,*,1つ,ヒトツ,ヒトツ
亜希子, 名詞,固有名詞,人名,名,*,*,亜希子,アキコ,アキコ
選ぶ, 動詞,自立,*,*,五段・バ行,基本形,選ぶ,エラブ,エラブ
健闘, 名詞,サ変接続,*,*,*,*,健闘,ケントウ,ケントー
シークレットサービス, 名詞,固有名詞,一般,*,*,*,シークレットサービス,シークレットサービス,シークレットサービス
危ぶま, 動詞,自立,*,*,五段・マ行,未然形,危ぶむ,アヤブマ,アヤブマ
闘士, 名詞,一般,*,*,*,*,闘士,トウシ,トーシ
わから, 動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
リズム, 名詞,一般,*,*,*,*,リズム,リズム,リズム
助言, 名詞,サ変接続,*,*,*,*,助言,ジョゲン,ジョゲン
庭師, 名詞,一般,*,*,*,*,庭師,ニワシ,ニワシ
Collins, 名詞,一般,*,*,*,*,*
またがる, 動詞,自立,*,*,五段・ラ行,基本形,またがる,マタガル,マタガル
プレー, 名詞,サ変接続,*,*,*,*,プレー,プレー,プレー
無償, 名詞,一般,*,*,*,*,無償,ムショウ,ムショー
武装組織, 名詞,固有名詞,一般,*,*,*,武装組織,ブソウソシキ,ブソーソシキ
Prada, 名詞,一般,*,*,*,*,*
アカウント, 名詞,一般,*,*,*,*,アカウント,アカウント,アカウント
社長, 名詞,一般,*,*,*,*,社長,シャチョウ,シャチョー
散々, 名詞,形容動詞語幹,*,*,*,*,散々,サンザン,サンザン
一般公開, 名詞,固有名詞,一般,*,*,*,一般公開,イッパンコウカイ,イッパンコーカイ
得票, 名詞,サ変接続,*,*,*,*,得票,トクヒョウ,トクヒョー
礼拝, 名詞,サ変接続,*,*,*,*,礼拝,レイハイ,レイハイ
', 記号,一般,*,*,*,*,*
引き出し, 動詞,自立,*,*,五段・サ行,連用形,引き出す,ヒキダシ,ヒキダシ
抱え, 動詞,自立,*,*,一段,連用形,抱える,カカエ,カカエ
検察, 名詞,サ変接続,*,*,*,*,検察,ケンサツ,ケンサツ
リー, 名詞,固有名詞,人名,姓,*,*,リー,リー,リー
午前8時, 名詞,固有名詞,一般,*,*,*,午前8時,ゴゼンハチジ,ゴゼンハチジ
厳しく, 形容詞,自立,*,*,形容詞・イ段,連用テ接続,厳しい,キビシク,キビシク
自社, 名詞,固有名詞,組織,*,*,*,自社,ジシャ,ジシャ
Open, 名詞,一般,*,*,*,*,*
性的少数者, 名詞,固有名詞,一般,*,*,*,性的少数者,セイテキショウスウシャ,セイテキショースーシャ
かつ, 接続詞,*,*,*,*,*,かつ,カツ,カツ
残留, 名詞,サ変接続,*,*,*,*,残留,ザンリュウ,ザンリュー
広まっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,広まる,ヒロマッ,ヒロマッ
卑劣, 名詞,形容動詞語幹,*,*,*,*,卑劣,ヒレツ,ヒレツ
実質, 名詞,一般,*,*,*,*,実質,ジッシツ,ジッシツ
非営利団体, 名詞,固有名詞,組織,*,*,*,非営利団体,ヒエイリダンタイ,ヒエイリダンタイ
高額, 名詞,形容動詞語幹,*,*,*,*,高額,コウガク,コーガク
婦, 名詞,接尾,一般,*,*,*,婦,フ,フ
テレビドラマ, 名詞,固有名詞,一般,*,*,*,TVドラマ,テレビドラマ,テレビドラマ
新人, 名詞,一般,*,*,*,*,新人,シンジン,シンジン
解説, 名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
カイロ, 名詞,固有名詞,地域,一般,*,*,カイロ,カイロ,カイロ
独占, 名詞,サ変接続,*,*,*,*,独占,ドクセン,ドクセン
不法侵入, 名詞,固有名詞,一般,*,*,*,不法侵入,フホウシンニュウ,フホーシンニュー
尊重, 名詞,サ変接続,*,*,*,*,尊重,ソンチョウ,ソンチョー
被害総額, 名詞,固有名詞,一般,*,*,*,被害総額,ヒガイソウガク,ヒガイソーガク
審議, 名詞,サ変接続,*,*,*,*,審議,シンギ,シンギ
Xuzhou, 名詞,固有名詞,組織,*,*,*,*
ラブ, 名詞,一般,*,*,*,*,ラブ,ラブ,ラブ
差別, 名詞,サ変接続,*,*,*,*,差別,サベツ,サベツ
財務, 名詞,一般,*,*,*,*,財務,ザイム,ザイム
数値目標, 名詞,固有名詞,一般,*,*,*,数値目標,スウチモクヒョウ,スーチモクヒョー
温暖化, 名詞,固有名詞,一般,*,*,*,温暖化,オンダンカ,オンダンカ
噴き, 動詞,自立,*,*,五段・カ行イ音便,連用形,噴く,フキ,フキ
物事, 名詞,一般,*,*,*,*,物事,モノゴト,モノゴト
寛容, 名詞,形容動詞語幹,*,*,*,*,寛容,カンヨウ,カンヨー
支持者, 名詞,固有名詞,一般,*,*,*,支持者,シジシャ,シジシャ
拠出, 名詞,サ変接続,*,*,*,*,拠出,キョシュツ,キョシュツ
表情, 名詞,一般,*,*,*,*,表情,ヒョウジョウ,ヒョージョー
さながら, 副詞,一般,*,*,*,*,さながら,サナガラ,サナガラ
近所, 名詞,一般,*,*,*,*,近所,キンジョ,キンジョ
作家, 名詞,一般,*,*,*,*,作家,サッカ,サッカ
ミカ, 名詞,固有名詞,人名,名,*,*,ミカ,ミカ,ミカ
施行, 名詞,サ変接続,*,*,*,*,施行,シコウ,シコー
労働省, 名詞,固有名詞,組織,*,*,*,労働省,ロウドウショウ,ロードーショー
言わ, 動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
矯正局, 名詞,固有名詞,組織,*,*,*,矯正局,キョウセイキョク,キョーセイキョク
